pc,HIP_1,HD_1,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_1,Mbol,log(L/Lsun),Habex,HIP_1a,L-A,L-B,Hab,SR1,SR3,lists_1,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_1b,Teff,HD_1a,notes,K,eTeff,ref_Teff,BCv_1a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_1a,Sample,Name,solRad,_RAJ2000,_DEJ2000,RAhms,DEdms
18.801,HIP_4151_,HD_5015_,4.8,0.54,0.008,53.1896,0.1273,GaiaDR2,3.43,Sun-like,F8V,2001AJ....121.2148G,-0.04,3.39,0.54,136,HIP_4151_,1,0,1,0,0,2,-4.398,BoroSaikia18,8.6,Glebocki05,1.18,F8V,HIP_4151_,1,HD_5015_,active,6149,64,2013ApJ...764...78R,,4.08,0.03,2013ApJ...764...78R,0.06,0.04,2013ApJ...764...78R,1.641,0,1,1,1,2,WANT,HIP_4151,2.2806971890891,13.267486,61.12397,00 53 04.28,+61 07 24.8
19.535,HIP_97675_,HD_187691_,5.12,0.551,0.002,51.1912,0.1634,GaiaDR2,3.66,Sun-like,F8V,2001AJ....121.2148G,-0.04,3.62,0.446,140,HIP_97675_,0,0,1,0,0,1,-5.1,Radick18,2.8,Glebocki05,1.25,F8V,HIP_97675_,1,HD_187691_,,6124,14,2014A&A...561A...7R,,4.21,0.03,2014A&A...561A...7R,0.13,0.01,2014A&A...561A...7R,1.485,,1,2,1,1,WANT,HIP_97675,1.69070418357797,297.75684,10.415727,19 51 01.50,+10 24 57.8
20.55,HIP_114924_,HD_219623_,5.58,0.556,0.003,48.661,0.0913,GaiaDR2,4.02,Sun-like,F8V,2001AJ....121.2148G,-0.04,3.98,0.306,_,HIP_114924_,1,0,0,0,0,1,-4.993,Isaacson10,5.4,Glebocki05,1.18,F8V,HIP_114924_,1,HD_219623_,quiet,6103,15,2005PASJ...57...27T,,4.18,0.04,2005PASJ...57...27T,0.05,0.02,2005PASJ...57...27T,1.272,0,1,1,1,1,WANT,HIP_114924,1.81162217214978,349.17627,53.213474,23 16 42.19,+53 12 50.6
22.734,HIP_86620_,HD_162004_,5.81,0.53,0.0,43.9875,0.0496,GaiaDR2,4.03,Sun-like,F8V,2001AJ....121.2148G,-0.04,3.99,0.301,_,HIP_86620_,1,0,0,0,0,1,-4.864,BoroSaikia18,8.6,Glebocki05,1.18,F8V,HIP_86620_,1,HD_162004_,,6059,70,2000A&AS..141..491C,,4.12,0.1,2000A&AS..141..491C,-0.08,0.1,2000A&AS..141..491C,1.284,0,1,1,1,1,WANT,HIP_86620,2.08002055773782,265.4921,72.15691,17 41 58.04,+72 09 27.3
23.23,HIP_3810_,HD_4676_,5.07,0.502,0.004,43.0469,0.1636,GaiaDR2,3.24,Sun-like,F8V,2003AJ....126.2048G,-0.04,3.2,0.616,_,HIP_3810_,1,0,0,0,0,1,-4.917,Gray03,3.6,Glebocki05,1.18,F8V,HIP_3810_,1,HD_4676_,hot,6272,80,2011A&A...530A.138C,,4.07,NA,2017MNRAS.469.3042N,0,0.07,2017MNRAS.469.3042N,1.721,0,1,2,1,1,WANT,HIP_3810,2.33382145110929,12.244617,16.940643,00 48 58.71,+16 56 28.1
25.3,HIP_74605_,HD_136064_,5.15,0.55,0.004,39.526,0.1005,GaiaDR2,3.13,Sun-like,F8V,2003AJ....126.2048G,-0.04,3.09,0.658,_,HIP_74605_,1,0,0,0,0,1,-5.014,BoroSaikia18,4.4,Glebocki05,1.18,F8V,HIP_74605_,1,HD_136064_,quiet,6164,20,2005PASJ...57...27T,,4.03,0.04,2005PASJ...57...27T,0.04,0.02,2005PASJ...57...27T,1.871,0,1,2,1,1,WANT,HIP_74605,2.55898433483259,228.65974,67.346725,15 14 38.00,+67 20 51.6
25.347,HIP_96258_,HD_184960_,5.71,0.475,0.011,39.4525,0.059,GaiaDR2,3.69,Sun-like,F8V,1978PASP...90..429L,-0.04,3.65,0.436,_,HIP_96258_,1,0,0,0,0,1,-4.956,BoroSaikia18,7.1,Glebocki05,1.18,F8V,HIP_96258_,1,HD_184960_,hot,6380,91,2014A&A...562A..71B,,4.15,0.14,2014A&A...562A..71B,-0.03,0.07,2014A&A...562A..71B,1.352,0,1,1,1,1,WANT,HIP_96258,1.94118813125497,293.58246,51.236618,19 34 19.76,+51 14 13.5
21.925,HIP_12444_,HD_16673_,5.79,0.524,0.004,45.6099,0.2451,GaiaDR2,4.09,Sun-like,F8V_Fe-0.4,2006AJ....132..161G,-0.04,4.05,0.278,_,HIP_12444_,1,0,0,0,0,1,-4.664,Baliunas96,6.7,Glebocki05,1.18,F8V_Fe-0.4,HIP_12444_,1,HD_16673_,active,6241,47,2013ApJ...764...78R,,4.36,0.02,2013ApJ...764...78R,-0.03,0.05,2013ApJ...764...78R,1.178,0,1,1,1,1,WANT,HIP_12444,1.19692689940465,40.051758,-9.452875,02 40 12.50,-09 27 09.7
14.822,HIP_47592_,HD_84117_,4.93,0.534,0.004,67.4693,0.1921,GaiaDR2,4.08,Sun-like,F9V,1989ApJS...71..245K,-0.05,4.03,0.286,96,HIP_47592_,1,0,1,0,0,2,-5.023,Isaacson10,5.3,Glebocki05,1.14,F9V,HIP_47592_,1,HD_84117_,quiet,6152,44,2005ApJS..159..141V,,4.31,0.06,2005ApJS..159..141V,-0.07,0.03,2005ApJS..159..141V,1.223,0,1,1,1,2,WANT,HIP_47592,1.34297406958244,145.56007,-23.91557,09 42 14.67,-23 54 58.4
17.344,HIP_7978_,HD_10647_,5.52,0.551,0.003,57.6556,0.0737,GaiaDR2,4.32,Sun-like,F9V,1989ApJS...71..245K,-0.05,4.27,0.186,119,HIP_7978_,1,1,1,0,0,3,-4.675,Gray06,5.4,Glebocki05,1.14,F9V,HIP_7978_,1,HD_10647_,active,6114,11,2014A&A...561A...7R,,4.41,0.04,2014A&A...561A...7R,-0.02,0.01,2014A&A...561A...7R,1.104,0,1,1,1,3,WANT,HIP_7978,1.06676222197191,25.622149,-53.740833,01 42 29.15,-53 44 26.1
25.928,HIP_8514_,HD_11262_,6.37,0.523,0.005,38.5678,0.2745,GaiaDR2,4.3,Sun-like,F9V_Fe-0.5,2006AJ....132..161G,-0.05,4.25,0.196,_,HIP_8514_,1,0,0,0,0,1,-4.571,Gray06,4.5,Glebocki05,1.14,F9V_Fe-0.5,HIP_8514_,1,HD_11262_,active,6198,80,2011A&A...530A.138C,,4.36,NA,2017MNRAS.469.3042N,-0.28,0.05,2016ApJ...826..171G,1.086,0,1,2,1,1,WANT,HIP_8514,1.19692689940465,27.4536,-38.402798,01 49 48.86,-38 24 12.5
22.351,HIP_59750_,HD_106516_,6.11,0.47,0.01,44.74,0.81,HIP2,4.36,Sun-like,F9V_Fe-1.7_CH-0.7,2006AJ....132..161G,-0.05,4.31,0.171,_,HIP_59750_,1,0,0,0,0,1,-4.651,Baliunas96,7.2,Glebocki05,1.14,F9V_Fe-1.7_CH-0.7,HIP_59750_,1,HD_106516_,active,6258,39,2013ApJ...764...78R,,4.36,0.03,2013ApJ...764...78R,-0.73,0.05,2013ApJ...764...78R,1.035,0,1,1,1,1,WANT,HIP_59750,1.19692689940465,183.79399,-10.312401,12 15 10.54,-10 18 35.8
17.327,HIP_12653_,HD_17051_,5.4,0.561,0.007,57.7143,0.0537,GaiaDR2,4.21,Sun-like,F9V_Fe+0.3,2006AJ....132..161G,-0.05,4.16,0.233,118,HIP_12653_,1,1,1,0,0,3,-4.585,Schroder09,5.4,Glebocki05,1.14,F9V_Fe+0.3,HIP_12653_,1,HD_17051_,active,6147,11,2014A&A...561A...7R,,4.42,0.03,2014A&A...561A...7R,0.16,0.01,2014A&A...561A...7R,1.154,0,1,1,1,3,WANT,HIP_12653,1.04247974922047,40.639442,-50.800293,02 42 33.16,-50 48 03.0
14.451,HIP_42438_,HD_72905_,5.63,0.618,0.003,69.2004,0.0652,GaiaDR2,4.83,Sun-like,G0.5V,2001AJ....121.2148G,-0.07,4.76,-0.008,91,HIP_42438_,1,1,1,0,0,3,-4.375,Baliunas96,9.3,Glebocki05,1.08,G0.5V,HIP_42438_,1,HD_72905_,active,5901,50,2013ApJ...764...78R,,4.49,0.01,2013ApJ...764...78R,-0.02,0.09,2013ApJ...764...78R,0.948,0,1,1,1,3,WANT,HIP_42438,0.887294168617217,129.79877,65.020905,08 39 11.74,+65 01 14.5
17.476,HIP_78459_,HD_143761_,5.42,0.601,0.01,57.2216,0.0782,GaiaDR2,4.2,Sun-like,G0+Va_Fe-1,1989ApJS...71..245K,-0.065,4.14,0.24,122,HIP_78459_,0,0,1,0,0,1,-5.039,Baliunas96,1.5,Glebocki05,0.97,G0+Va_Fe-1,HIP_78459_,,HD_143761_,,5857,28,2015A&A...580A..24D,,4.36,0.15,2015A&A...580A..24D,-0.19,0.04,2015A&A...580A..24D,1.28,0,1,2,1,1,WANT,HIP_78459,1.19692689940465,240.2611,33.30351,16 01 02.80,+33 18 19.4
17.538,HIP_64792_,HD_115383_,5.19,0.585,0.007,57.0186,0.2524,GaiaDR2,3.97,Sun-like,G0IV,2001AJ....121.2148G,-0.065,3.91,0.334,123,HIP_64792_,1,1,1,0,0,3,-4.443,Baliunas96,6.3,Glebocki05,1.08,G0IV,HIP_64792_,1,HD_115383_,active,6120,20,2005PASJ...57...27T,,4.25,0.05,2005PASJ...57...27T,0.21,0.03,2005PASJ...57...27T,1.307,0,1,1,1,3,WANT,HIP_64792,1.54194054156749,199.19382,9.424156,13 16 46.71,+09 25 25.3
23.006,HIP_10723_,HD_14214_,5.6,0.588,0.004,43.4677,0.3948,GaiaDR2,3.79,Sun-like,G0IV-,2003AJ....126.2048G,-0.065,3.73,0.406,_,HIP_10723_,1,0,0,0,0,1,-5.114,Gray03,2.7,Glebocki05,1.08,G0IV-,HIP_10723_,1,HD_14214_,quiet,6062,18,2005PASJ...57...27T,,4.16,0.04,2005PASJ...57...27T,0.17,0.02,2005PASJ...57...27T,1.446,0,1,2,1,1,WANT,HIP_10723,1.89700129474001,34.506,1.7578019,02 18 01.23,+01 45 24.8
18.128,HIP_107350_,HD_206860_,5.96,0.587,0.003,55.1631,0.0608,GaiaDR2,4.67,Sun-like,G0IV-V,2003AJ....126.2048G,-0.065,4.6,0.055,_,HIP_107350_,1,0,0,0,0,1,-4.416,Baliunas96,9.9,Glebocki05,1.08,G0IV-V,HIP_107350_,1,HD_206860_,active,5961,85,2013ApJ...764...78R,,4.45,0.03,2013ApJ...764...78R,-0.06,0.07,2013ApJ...764...78R,0.999,0,1,1,1,1,WANT,HIP_107350,0.972898709453773,326.13055,14.771939,21 44 31.19,+14 46 20.0
19.04,HIP_44897_,HD_78366_,5.95,0.585,0.007,52.5197,0.0801,GaiaDR2,4.55,Sun-like,G0IV-V,2003AJ....126.2048G,-0.065,4.49,0.101,_,HIP_44897_,1,0,0,0,0,1,-4.608,Baliunas96,4.4,Glebocki05,1.08,G0IV-V,HIP_44897_,1,HD_78366_,active,6014,44,2005ApJS..159..141V,,4.54,0.06,2005ApJS..159..141V,0.08,0.03,2005ApJS..159..141V,1.035,0,1,2,1,1,WANT,HIP_44897,0.790801760180697,137.2128,33.882217,09 08 51.20,+33 52 57.0
14.545,HIP_84862_,HD_157214_,5.39,0.619,0.003,68.7539,0.0904,GaiaDR2,4.58,Sun-like,G0V,2001AJ....121.2148G,-0.065,4.51,0.09,93,HIP_84862_,0,0,1,0,0,1,-4.993,Isaacson10,1.6,Glebocki05,0.94,G0V,HIP_84862_,0,HD_157214_,,5750,60,2013ApJ...764...78R,,4.26,0.03,2013ApJ...764...78R,-0.39,0.04,2013ApJ...764...78R,1.118,0,1,2,1,1,WANT,HIP_84862,1.50684168972051,260.16486,32.467743,17 20 39.47,+32 28 13.0
17.204,HIP_88694_,HD_165185_,5.94,0.615,0.008,58.1258,0.1151,GaiaDR2,4.76,Sun-like,G0V,2006AJ....132..161G,-0.065,4.7,0.017,_,HIP_88694_,1,1,0,0,0,2,-4.406,King03,7.3,Glebocki05,1.08,G0V,HIP_88694_,1,HD_165185_,active,5940,18,2014A&A...570A..80T,,4.46,0.06,2014A&A...570A..80T,-0.05,0.03,2014A&A...570A..80T,0.963,0,1,1,1,2,WANT,HIP_88694,0.950752831098101,271.59882,-36.019787,18 06 23.64,-36 01 11.3
18.951,HIP_34017_,HD_52711_,5.93,0.595,0.008,52.7681,0.0929,GaiaDR2,4.54,Sun-like,G0V,2003AJ....126.2048G,-0.065,4.48,0.105,_,HIP_34017_,1,0,0,0,0,1,-4.96,Radick18,2.9,Glebocki05,1.08,G0V,HIP_34017_,1,HD_52711_,quiet,5886,10,2005PASJ...57...27T,,4.3,0.03,2005PASJ...57...27T,-0.11,0.01,2005PASJ...57...27T,1.086,0,1,2,1,1,WANT,HIP_34017,1.37425595421848,105.87691,29.33708,07 03 30.35,+29 20 20.7
20.719,HIP_69671_,HD_124580_,6.31,0.596,0.004,48.2654,0.1401,GaiaDR2,4.73,Sun-like,G0V,2006AJ....132..161G,-0.065,4.66,0.031,_,HIP_69671_,1,0,0,0,0,1,-4.516,BoroSaikia18,4.5,Glebocki05,1.08,G0V,HIP_69671_,1,HD_124580_,active,5923,80,2011A&A...530A.138C,,4.43,NA,2011A&A...530A.138C,-0.15,0.06,2016ApJ...826..171G,0.984,0,1,2,1,1,WANT,HIP_69671,1.01875001303093,213.9112,-45.000755,14 15 38.58,-45 00 01.5
22.442,HIP_50075_,HD_88742_,6.38,0.592,0.001,44.5586,0.0308,GaiaDR2,4.62,Sun-like,G0V,2006AJ....132..161G,-0.065,4.56,0.072,_,HIP_50075_,1,0,0,0,0,1,-4.738,BoroSaikia18,2.7,Glebocki05,1.08,G0V,HIP_50075_,1,HD_88742_,active,5981,13,2008A&A...487..373S,,4.52,0.02,2008A&A...487..373S,-0.02,0.01,2008A&A...487..373S,1.012,0,1,2,1,1,WANT,HIP_50075,0.82807109893411,153.35304,-33.031723,10 13 24.99,-33 01 54.8
22.924,HIP_51248_,HD_90508_,6.42,0.61,0.006,43.6231,0.1254,GaiaDR2,4.62,Sun-like,G0V,2003AJ....126.2048G,-0.065,4.55,0.075,_,HIP_51248_,1,0,0,0,0,1,-5.06,Radick18,1.6,Glebocki05,1.08,G0V,HIP_51248_,0,HD_90508_,quiet,5734,68,2013ApJ...764...78R,,4.3,0.03,2013ApJ...764...78R,-0.37,0.07,2013ApJ...764...78R,1.104,0,1,2,1,1,WANT,HIP_51248,1.37425595421848,157.01617,48.7849,10 28 03.81,+48 47 13.4
12.484,HIP_24813_,HD_34411_,4.71,0.624,0.015,80.1054,0.2158,GaiaDR2,4.22,Sun-like,G1.5IV-V_Fe-1,1989ApJS...71..245K,-0.08,4.14,0.239,70,HIP_24813_,0,0,1,0,0,1,-5.085,Isaacson10,1.3,Glebocki05,1.08,G1.5IV-V_Fe-1,HIP_24813_,,HD_34411_,,5872,66,2013ApJ...764...78R,,4.26,0.03,2013ApJ...764...78R,0.05,0.04,2013ApJ...764...78R,1.272,0,1,2,1,1,WANT,HIP_24813,1.50684168972051,79.78531,40.099052,05 19 08.08,+40 06 02.4
17.053,HIP_34065_,HD_53705_,5.56,0.624,0.009,58.6411,0.076,GaiaDR2,4.4,Sun-like,G1.5V,1989ApJS...71..245K,-0.08,4.32,0.168,_,HIP_34065_,1,0,0,0,0,1,-4.93,Henry96,3.6,Glebocki05,1.04,G1.5V,HIP_34065_,1,HD_53705_,,5810,30,2012A&A...542A..84D,,4.32,0.13,2012A&A...542A..84D,-0.22,0.05,2012A&A...542A..84D,1.197,0,1,2,1,1,WANT,HIP_34065,1.31240424757446,105.98882,-43.60804,07 03 57.40,-43 36 32.3
17.053,HIP_34069_,HD_53706_,6.83,0.779,0.02,58.6396,0.0242,GaiaDR2,5.67,Sun-like,G1.5V,1989ApJS...71..245K,-0.08,5.59,-0.34,_,HIP_34069_,1,0,0,0,0,1,-5.01,Henry96,1.8,Glebocki05,1.04,G1.5V,HIP_34069_,1,HD_53706_,quiet,5245,44,2005ApJS..159..141V,,4.57,0.06,2005ApJS..159..141V,-0.28,0.03,2005ApJS..159..141V,0.818,0,1,2,1,1,WANT,HIP_34069,0.738019143766466,105.99551,-43.61132,07 03 59.00,-43 36 44.2
17.438,HIP_70319_,HD_126053_,6.25,0.639,0.006,57.3445,0.0362,GaiaDR2,5.04,Sun-like,G1.5V,2003AJ....126.2048G,-0.08,4.96,-0.089,_,HIP_70319_,1,0,0,0,0,1,-4.957,Baliunas96,1.3,Glebocki05,1.04,G1.5V,HIP_70319_,1,HD_126053_,quiet,5691,30,2013ApJ...764...78R,,4.44,0.02,2013ApJ...764...78R,-0.36,0.04,2013ApJ...764...78R,0.929,0,1,2,1,1,WANT,HIP_70319,0.995560431583035,215.81369,1.241569,14 23 15.15,+01 14 33.8
21.807,HIP_75809_,HD_139777_,6.57,0.665,0.005,45.8577,0.0328,GaiaDR2,4.88,Sun-like,G1.5V(n),2003AJ....126.2048G,-0.08,4.8,-0.023,_,HIP_75809_,1,0,0,0,0,1,-4.27,White07,4.8,Glebocki05,1.04,G1.5V(n),HIP_75809_,1,HD_139777_,active,5771,5,2012A&A...547A.106M,,4.4,0.2,2012A&A...547A.106M,0.01,0.05,2012A&A...547A.106M,0.974,1,1,2,1,1,WANT,HIP_75809,1.0916103061737,232.2966,80.4486,15 29 11.97,+80 26 54.0
21.152,HIP_96895_,HD_186408_,5.99,0.643,0.006,47.2771,0.0327,GaiaDR2,4.36,Sun-like,G1.5Vb,1989ApJS...71..245K,-0.08,4.28,0.183,_,HIP_96895_,1,0,0,0,0,1,-5.07,Radick18,8.6,Glebocki05,1.04,G1.5Vb,HIP_96895_,1,HD_186408_,quiet,5787,32,2013ApJ...764...78R,,4.26,0.02,2013ApJ...764...78R,0.05,0.04,2013ApJ...764...78R,1.228,0,1,1,1,1,WANT,HIP_96895,1.50684168972051,295.45398,50.52506,19 41 49.09,+50 31 31.6
19.886,HIP_95149_,HD_181321_,6.48,0.628,0.002,50.2864,0.3959,GaiaDR2,4.99,Sun-like,G1V,2006AJ....132..161G,-0.075,4.91,-0.069,_,HIP_95149_,1,0,0,0,0,1,-4.31,Henry96,11.8,Glebocki05,1.07,G1V,HIP_95149_,1,HD_181321_,high vsini,5810,30,2012A&A...542A..84D,,4.34,0.13,2012A&A...542A..84D,-0.06,0.05,2012A&A...542A..84D,0.912,1,1,0,1,1,WANT,HIP_95149,1.25333632629665,290.374,-34.983486,19 21 29.70,-34 58 59.6
20.899,HIP_102040_,HD_197076_,6.43,0.611,0.009,47.85,0.0361,GaiaDR2,4.83,Sun-like,G1V,2003AJ....126.2048G,-0.075,4.75,-0.006,_,HIP_102040_,1,0,0,0,0,1,-4.89,Radick18,2.9,Glebocki05,1.07,G1V,HIP_102040_,1,HD_197076_,slightly active,5838,6,2014A&A...572A..48R,,4.48,0.02,2014A&A...572A..48R,-0.09,0.01,2014A&A...572A..48R,0.971,2,1,2,1,1,WANT,HIP_102040,0.907961904837576,310.18808,19.935535,20 40 45.07,+19 56 05.2
21.988,HIP_41484_,HD_71148_,6.32,0.624,0.004,45.4793,0.0369,GaiaDR2,4.61,Sun-like,G1V,2003AJ....126.2048G,-0.075,4.53,0.082,_,HIP_41484_,1,0,0,0,0,1,-4.94,Hall07,2.7,Glebocki05,1.07,G1V,HIP_41484_,1,HD_71148_,quiet,5801,41,2013ApJ...764...78R,,4.35,0.02,2013ApJ...764...78R,0.02,0.03,2013ApJ...764...78R,1.089,2,1,2,1,1,WANT,HIP_41484,1.22480690843311,126.903275,45.65299,08 27 36.80,+45 39 13.8
22.654,HIP_54745_,HD_97334_,6.41,0.6,0.0,44.1428,0.0383,GaiaDR2,4.63,Sun-like,G1V,2003AJ....126.2048G,-0.075,4.56,0.072,_,HIP_54745_,1,0,0,0,0,1,-4.422,Baliunas96,5.4,Glebocki05,1.07,G1V,HIP_54745_,1,HD_97334_,active,5898,44,2005ApJS..159..141V,,4.42,0.06,2005ApJS..159..141V,0.09,0.03,2005ApJS..159..141V,1.041,0,1,1,1,1,WANT,HIP_54745,1.04247974922047,168.1348,35.81408,11 12 32.53,+35 48 52.0
23.549,HIP_19233_,HD_26491_,6.37,0.636,0.003,42.4641,0.026,GaiaDR2,4.51,Sun-like,G1V,2006AJ....132..161G,-0.075,4.44,0.122,_,HIP_19233_,1,0,0,0,0,1,-4.95,Henry96,2.7,Glebocki05,1.07,G1V,HIP_19233_,1,HD_26491_,quiet,5803,45,2014A&A...562A..71B,,4.29,0.07,2014A&A...562A..71B,-0.07,0.05,2014A&A...562A..71B,1.138,0,1,2,1,1,WANT,HIP_19233,1.40626648755187,61.839756,-64.22229,04 07 21.29,-64 13 23.2
1.338,HIP_71683_,HD_128620_,-0.01,0.71,0.04,747.17,0.61,Kervella16,4.36,Sun-like,G2V,2006AJ....132..161G,-0.085,4.27,0.187,_,HIP_71683_,0,1,0,0,0,1,-5.002,Henry96,3.2,Glebocki05,1.02,G2V,HIP_71683_,0,HD_128620_,quiet,5840,69,2014A&A...564A.133J,,4.31,0.02,2014A&A...564A.133J,0.26,0.01,2014A&A...564A.133J,1.212,0,1,2,1,1,WANT,HIP_71683,1.34297406958244,219.90207,-60.833973,14 39 40.90,-60 50 06.5
17.915,HIP_98959_,HD_189567_,6.07,0.648,0.006,55.8197,0.0381,GaiaDR2,4.8,Sun-like,G2V,2006AJ....132..161G,-0.085,4.72,0.008,_,HIP_98959_,1,0,0,0,0,1,-4.86,Henry96,1.8,Glebocki05,1.02,G2V,HIP_98959_,1,HD_189567_,slightly active,5726,15,2008A&A...487..373S,,4.41,0.01,2008A&A...487..373S,-0.24,0.01,2008A&A...487..373S,1.026,0,1,2,1,1,WANT,HIP_98959,1.06676222197191,301.3865,-67.3209,20 05 31.49,-67 19 09.3
19.017,HIP_98921_,HD_190771_,6.18,0.654,0.004,52.5858,0.0263,GaiaDR2,4.78,Sun-like,G2V,2003AJ....126.2048G,-0.085,4.7,0.016,_,HIP_98921_,1,0,0,0,0,1,-4.431,Isaacson10,3.6,Glebocki05,1.02,G2V,HIP_98921_,1,HD_190771_,active,5772,66,2013ApJ...764...78R,,4.44,0.03,2013ApJ...764...78R,0.09,0.04,2013ApJ...764...78R,1.019,1,1,2,1,1,WANT,HIP_98921,0.995560431583035,301.29077,38.47846,20 05 09.59,+38 28 41.5
21.77,HIP_36515_,HD_59967_,6.66,0.641,0.006,45.9339,0.0272,GaiaDR2,4.97,Sun-like,G2V,2006AJ....132..161G,-0.085,4.89,-0.058,_,HIP_36515_,1,0,0,0,0,1,-4.36,Henry96,3.5,Glebocki05,1.02,G2V,HIP_36515_,1,HD_59967_,active,5847,12,2014A&A...572A..48R,,4.54,0.02,2014A&A...572A..48R,-0.02,0.01,2014A&A...572A..48R,0.911,1,1,2,1,1,WANT,HIP_36515,0.790801760180697,112.67713,-37.33936,07 30 42.58,-37 20 22.2
22.051,HIP_109821_,HD_210918_,6.23,0.648,0.006,45.35,0.37,HIP2,4.51,Sun-like,G2V,2006AJ....132..161G,-0.085,4.43,0.125,_,HIP_109821_,1,0,0,0,0,1,-5.101,Lorenzo-Oliveira18,1.8,Glebocki05,1.02,G2V,HIP_109821_,1,HD_210918_,quiet,5746,7,2014A&A...572A..48R,,4.31,0.02,2014A&A...572A..48R,-0.12,0.01,2014A&A...572A..48R,1.165,0,1,2,1,1,WANT,HIP_109821,1.34297406958244,333.66104,-41.381664,22 14 38.21,-41 22 47.1
15.468,HIP_113357_,HD_217014_,5.45,0.666,0.007,64.6488,0.1232,GaiaDR2,4.5,Sun-like,G2V+,2006AJ....132..161G,-0.085,4.42,0.129,_,HIP_113357_,1,0,0,0,0,1,-5.074,Baliunas96,2.8,Glebocki05,1.02,G2V+,HIP_113357_,1,HD_217014_,quiet,5822,15,2013A&A...554A..84M,,4.43,0.04,2013A&A...554A..84M,0.18,0.02,2013A&A...554A..84M,1.14,0,1,2,1,1,WANT,HIP_113357,1.01875001303093,344.36658,20.768833,22 57 27.85,+20 46 07.3
21.153,HIP_96901_,HD_186427_,6.25,0.661,0.005,47.2754,0.0245,GaiaDR2,4.62,Sun-like,G3V,1989ApJS...71..245K,-0.095,4.53,0.085,_,HIP_96901_,1,0,0,0,0,1,-5.04,Radick18,1.8,Glebocki05,1.0,G3V,HIP_96901_,1,HD_186427_,quiet,5713,37,2013ApJ...764...78R,,4.31,0.02,2013ApJ...764...78R,0.04,0.02,2013ApJ...764...78R,1.125,0,1,2,1,1,WANT,HIP_96901,1.34297406958244,295.46655,50.517525,19 41 52.10,+50 31 04.5
22.841,HIP_116613_,HD_222143_,6.58,0.665,0.005,43.7807,0.0355,GaiaDR2,4.79,Sun-like,G3V(k),2003AJ....126.2048G,-0.095,4.69,0.019,_,HIP_116613_,1,0,0,0,0,1,-4.521,Isaacson10,2.1,Glebocki05,1.0,G3V(k),HIP_116613_,1,HD_222143_,active,5900,20,2012A&A...547A..13T,,4.57,0.06,2012A&A...547A..13T,0.15,0,2012A&A...547A..13T,0.979,0,1,2,1,1,WANT,HIP_116613,0.738019143766466,354.4937,46.199436,23 37 58.19,+46 11 58.1
20.25,HIP_50505_,HD_89269_,6.66,0.653,0.004,49.3821,0.0448,GaiaDR2,5.13,Sun-like,G4V,2003AJ....126.2048G,-0.1,5.03,-0.115,_,HIP_50505_,1,0,0,0,0,1,-5.03,Radick18,0,Glebocki05,0.99,G4V,HIP_50505_,1,HD_89269_,quiet,5586,44,2005ApJS..159..141V,,4.44,0.06,2005ApJS..159..141V,-0.2,0.03,2005ApJS..159..141V,0.935,0,1,2,1,1,WANT,HIP_50505,0.995560431583035,154.71645,44.048325,10 18 51.90,+44 02 56.6
21.351,HIP_93966_,HD_178428_,6.08,0.705,0.005,46.8373,0.118,GaiaDR2,4.43,Sun-like,G4V_CN+0.5,2006AJ....132..161G,-0.1,4.33,0.163,_,HIP_93966_,1,0,0,0,0,1,-5.048,Baliunas96,0.9,Glebocki05,0.99,G4V_CN+0.5,HIP_93966_,1,HD_178428_,quiet,5660,12,2005PASJ...57...27T,,4.19,0.03,2005PASJ...57...27T,0.16,0.02,2005PASJ...57...27T,1.254,0,1,2,1,1,WANT,HIP_93966,1.77038461693358,286.98883,16.853386,19 07 57.28,+16 51 14.9
8.31,HIP_86974_,HD_161797_,3.42,0.75,0.015,120.33,0.16,HIP2,3.82,Sun-like,G5IV,1989ApJS...71..245K,-0.105,3.72,0.409,_,HIP_86974_,0,0,0,1,0,1,-5.077,Isaacson10,1.9,Glebocki05,0.98,G5IV,HIP_86974_,0,HD_161797_,quiet,5562,35,2015A&A...574A..50J,,3.98,0.05,2015A&A...574A..50J,0.28,0.05,2015A&A...574A..50J,1.725,0,1,2,1,1,WANT,HIP_86974,2.8712276479518,266.6147,27.720676,17 46 27.72,+27 43 21.0
18.645,HIP_29525_,HD_42807_,6.43,0.663,0.005,53.6335,0.0716,GaiaDR2,5.08,Sun-like,G5V,2003AJ....126.2048G,-0.105,4.97,-0.093,_,HIP_29525_,1,0,0,0,0,1,-4.47,Radick18,3.6,Glebocki05,0.98,G5V,HIP_29525_,1,HD_42807_,active,5737,7,2014A&A...572A..48R,,4.49,0.02,2014A&A...572A..48R,-0.02,0.01,2014A&A...572A..48R,0.91,1,1,2,1,1,WANT,HIP_29525,0.887294168617217,93.30209,10.627144,06 13 12.46,+10 37 40.3
