Day,Month,CTIO,CalarAlto1,CalarAlto2,KPNO,LaSilla,Magellan,MaunaKea,MMT,SSO,Sutherland,WIYN
1,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
2,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
3,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
4,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
5,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
6,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
7,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
8,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
9,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
10,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
11,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
12,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
13,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
14,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
15,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
16,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
17,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
18,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
19,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
20,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
21,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
22,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
23,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
24,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
25,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
26,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
27,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
28,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
29,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
30,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
31,1,0.97,0.456521739130435,0.467455621301775,0.64,0.945570570570571,0.761688406705966,0.64,0.694386694386694,0.65,0.537837837837838,0.6338266
32,2,0.93,0.355072463768116,0.404339250493097,0.62,0.972514147130154,0.761688406705966,0.66999996,0.592515592515592,0.65,0.537837837837838,0.5176634
33,2,0.93,0.355072463768116,0.404339250493097,0.62,0.972514147130154,0.761688406705966,0.66999996,0.592515592515592,0.65,0.537837837837838,0.5176634
34,2,0.93,0.355072463768116,0.404339250493097,0.62,0.972514147130154,0.761688406705966,0.66999996,0.592515592515592,0.65,0.537837837837838,0.5176634
35,2,0.93,0.355072463768116,0.404339250493097,0.62,0.972514147130154,0.761688406705966,0.66999996,0.592515592515592,0.65,0.537837837837838,0.5176634
36,2,0.93,0.355072463768116,0.404339250493097,0.62,0.972514147130154,0.761688406705966,0.66999996,0.592515592515592,0.65,0.537837837837838,0.5176634
37,2,0.93,0.355072463768116,0.404339250493097,0.62,0.972514147130154,0.761688406705966,0.66999996,0.592515592515592,0.65,0.537837837837838,0.5176634
38,2,0.93,0.355072463768116,0.404339250493097,0.62,0.972514147130154,0.761688406705966,0.66999996,0.592515592515592,0.65,0.537837837837838,0.5176634
39,2,0.93,0.355072463768116,0.404339250493097,0.62,0.972514147130154,0.761688406705966,0.66999996,0.592515592515592,0.65,0.537837837837838,0.5176634
