Date__(UT)__HR:MN,R.A._(ICRF),DEC__(ICRF),R.A.__(a-app),DEC_(a-app),APmag,Ang-diam,delta,deldot,S-T-O,Cnst,N.Pole-RA,N.Pole-DC
1741-Jan-09 12:00, 08 03 06.25, +24 44 10.8, 07 47 28.84, +25 25 52.5, -1.394, 14.50834, 0.64551129, -0.0141033, 3.8193, Cnc, 317.96238, 53.04621
1743-Feb-17 00:00, 10 17 09.45, +15 28 15.0, 10 03 15.11, +16 44 25.5, -1.253, 13.81906, 0.67770882, 0.0478705, 2.7235, Leo, 317.95996, 53.04505
1745-Mar-26 12:00, 12 17 46.72, +01 38 39.7, 12 04 45.67, +03 03 35.0, -1.388, 14.54974, 0.64367487, -0.0143348, 4.184, Vir, 317.95751, 53.0437
1747-May-09 12:00, 14 37 07.81, -15 06 08.8, 14 23 19.72, -13 59 25.8, -1.782, 17.12465, 0.54688997, -0.0099166, 6.6658, Lib, 317.95536, 53.04224
1749-Jul-03 18:00, 18 28 20.63, -28 17 26.8, 18 12 33.73, -28 24 56.2, -2.642, 22.45893, 0.41699679, -0.0011565, 7.2784, Sgr, 317.95336, 53.04098
1751-Sep-10 00:00, 23 56 02.09, -06 41 43.8, 23 43 19.38, -08 04 22.6, -2.807, 24.38769, 0.38401758, -0.0275397, 6.0635, Aqr, 317.95047, 53.03975
1753-Nov-09 00:00, 03 55 48.67, +20 40 54.4, 03 41 31.94, +19 56 17.2, -2.036, 18.70732, 0.5006223, 0.0088951, 7.2617, Tau, 317.94814, 53.0381
1755-Dec-25 18:00, 07 01 57.48, +26 19 56.5, 06 46 50.79, +26 38 56.2, -1.523, 15.22077, 0.61529721, 0.0138502, 4.7039, Gem, 317.94613, 53.03687
1758-Feb-02 06:00, 09 28 00.78, +19 45 42.4, 09 14 21.52, +20 47 48.4, -1.299, 13.91907, 0.67283961, 0.0219907, 2.8098, Leo, 317.9438, 53.03575
1760-Mar-11 06:00, 11 30 37.68, +07 26 52.5, 11 18 14.01, +08 46 01.8, -1.395, 14.08704, 0.66481673, 0.0310527, 3.4406, Leo, 317.94132, 53.03448
1762-Apr-21 12:00, 13 37 15.43, -08 19 40.8, 13 24 48.81, -07 06 31.2, -1.601, 15.83518, 0.59142372, 0.0338727, 5.7944, Vir, 317.93903, 53.03304
1764-Jun-10 00:00, 16 39 39.98, -24 59 24.0, 16 25 22.72, -24 30 15.6, -2.196, 20.07153, 0.46659622, 0.0181578, 7.7091, Sco, 317.93706, 53.03166
1766-Aug-14 00:00, 21 54 15.44, -20 03 37.0, 21 41 16.62, -21 08 52.1, -3.027, 25.09047, 0.3732612, 0.0114771, 5.0326, Cap, 317.93455, 53.03055
1768-Oct-18 00:00, 02 30 52.26, +12 49 10.0, 02 18 24.36, +11 46 59.8, -2.327, 20.91188, 0.44784585, -0.0347601, 7.7996, Ari, 317.93179, 53.02895
1770-Dec-08 18:00, 05 54 26.37, +26 07 51.3, 05 40 15.31, +26 03 32.8, -1.709, 16.26181, 0.57590769, -0.0103707, 5.7881, Tau, 317.92983, 53.02755
1773-Jan-18 06:00, 08 35 13.63, +23 13 54.5, 08 21 52.20, +23 59 27.7, -1.355, 14.23266, 0.65801475, -0.0151333, 3.3879, Cnc, 317.92762, 53.02644
1775-Feb-25 06:00, 10 44 14.26, +12 42 33.2, 10 32 19.30, +13 52 49.6, -1.307, 13.8565, 0.67587775, -0.0175346, 2.8245, Leo, 317.92516, 53.02524
1777-Apr-04 12:00, 12 45 18.18, -01 51 01.4, 12 33 52.86, -00 37 42.9, -1.447, 14.91745, 0.62780831, -0.0421385, 4.6295, Vir, 317.92276, 53.02385
1779-May-20 12:00, 15 16 05.82, -18 54 41.7, 15 03 35.35, -18 04 53.6, -1.927, 18.0267, 0.51952384, -0.0277617, 7.0577, Lib, 317.92068, 53.0224
1781-Jul-18 06:00, 19 39 59.23, -27 36 29.8, 19 26 27.26, -28 05 27.9, -2.71, 23.72542, 0.39473689, 0.0137184, 6.5249, Sgr, 317.91856, 53.02123
1783-Sep-24 18:00, 00 55 40.36, +01 06 47.7, 00 44 36.64, -00 03 33.9, -2.659, 23.302, 0.4019097, -0.0209212, 6.9824, Cet, 317.9156, 53.01986
1785-Nov-20 06:00, 04 40 26.15, +23 30 36.7, 04 27 35.86, +23 04 33.0, -1.983, 17.70866, 0.52885417, -0.0251457, 6.8598, Tau, 317.91347, 53.01827
1788-Jan-03 18:00, 07 37 25.91, +25 36 45.0, 07 24 30.68, +26 04 01.0, -1.435, 14.79176, 0.63314286, -0.0392118, 4.277, Gem, 317.9114, 53.01711
1790-Feb-10 12:00, 09 56 32.02, +17 23 08.1, 09 45 00.81, +18 22 09.6, -1.314, 13.8367, 0.67684488, -0.0436143, 2.7003, Leo, 317.90901, 53.01597
1792-Mar-20 00:00, 11 56 59.04, +04 13 20.0, 11 46 20.97, +05 22 34.0, -1.385, 14.31134, 0.65439733, 0.0469342, 3.8918, Vir, 317.90654, 53.01465
