Date__(UT)__HR:MN,R.A._(ICRF),DEC__(ICRF),R.A.__(a-app),DEC_(a-app),APmag,Ang-diam,delta,deldot,S-T-O,Cnst,N.Pole-RA,N.Pole-DC
1963-Feb-03 06:00, 09 19 28.37, +20 23 45.4, 09 17 23.33, +20 33 03.8, -1.368, 13.96879, 0.67044483, 0.04432, 2.9073, Cnc, 317.72128, 52.90916
1965-Mar-12 00:00, 11 22 59.18, +08 17 47.3, 11 21 11.33, +08 29 14.2, -1.293, 14.00991, 0.66847702, -0.0181535, 3.1397, Leo, 317.7188, 52.90791
1967-Apr-21 18:00, 13 27 23.79, -07 13 10.3, 13 25 41.74, -07 03 07.2, -1.575, 15.57735, 0.60121274, 0.0064955, 5.4389, Vir, 317.71648, 52.90648
1969-Jun-09 06:00, 16 21 07.99, -23 59 37.6, 16 19 18.93, -23 55 30.7, -2.134, 19.52915, 0.47955484, 0.0221161, 7.7371, Sco, 317.71451, 52.90509
1971-Aug-12 00:00, 21 26 28.43, -22 16 19.6, 21 24 53.84, -22 23 38.3, -2.935, 24.92779, 0.3756971, -0.0245701, 5.221, Cap, 317.71208, 52.90399
1973-Oct-17 06:00, 02 12 22.69, +10 52 02.4, 02 11 00.79, +10 44 54.1, -2.439, 21.4785, 0.43603147, 0.0224436, 7.4798, Ari, 317.70925, 52.90242
1975-Dec-09 00:00, 05 41 36.47, +25 55 38.1, 05 40 09.41, +25 54 52.6, -1.73, 16.56164, 0.56548133, -0.0007898, 6.1027, Tau, 317.70727, 52.90099
1978-Jan-19 06:00, 08 25 38.81, +23 44 44.0, 08 24 22.48, +23 48 50.5, -1.446, 14.33785, 0.65318727, 0.0483147, 3.5301, Cnc, 317.70508, 52.89988
1980-Feb-26 06:00, 10 36 23.21, +13 29 23.6, 10 35 20.59, +13 35 27.4, -1.271, 13.82718, 0.67731102, 4.08e-05, 2.7209, Leo, 317.70263, 52.8987
1982-Apr-05 06:00, 12 36 39.58, -00 50 51.4, 12 35 45.21, -00 45 01.2, -1.5, 14.74572, 0.6351198, -0.0075679, 4.4068, Vir, 317.70021, 52.89733
1984-May-19 12:00, 15 02 07.96, -17 43 58.6, 15 01 15.37, -17 40 22.2, -1.847, 17.62149, 0.53147029, 0.0176727, 7.0583, Lib, 317.69811, 52.89588
1986-Jul-16 12:00, 19 12 43.21, -28 10 23.6, 19 11 53.74, -28 11 53.4, -2.653, 23.20594, 0.40357333, 0.0117009, 6.9266, Sgr, 317.69604, 52.89469
1988-Sep-22 06:00, 00 33 48.85, -01 39 12.2, 00 33 15.80, -01 42 44.3, -2.694, 23.82161, 0.39314297, 0.0296133, 6.4319, Cet, 317.69308, 52.89337
1990-Nov-20 06:00, 04 25 32.82, +22 46 34.8, 04 25 02.46, +22 45 30.9, -1.992, 18.11772, 0.51691388, 0.0290433, 6.9715, Tau, 317.6909, 52.89176
1993-Jan-03 12:00, 07 27 02.13, +25 55 05.6, 07 26 39.16, +25 55 49.9, -1.543, 14.95849, 0.62608611, -0.0229193, 4.5429, Gem, 317.68884, 52.89059
1995-Feb-11 12:00, 09 48 25.83, +18 04 19.7, 09 48 11.72, +18 05 26.9, -1.264, 13.86028, 0.67569362, -0.0367745, 2.746, Leo, 317.68647, 52.88946
1997-Mar-20 18:00, 11 49 06.30, +05 07 29.8, 11 48 58.93, +05 08 17.0, -1.383, 14.20306, 0.65938627, 0.0195887, 3.585, Vir, 317.684, 52.88816
1999-May-01 18:00, 13 58 50.42, -10 59 59.5, 13 58 48.80, -10 59 46.9, -1.663, 16.18975, 0.57847104, 0.0088545, 6.0322, Vir, 317.68175, 52.88672
2001-Jun-22 00:00, 17 15 34.49, -26 44 34.2, 17 15 40.20, -26 44 38.7, -2.37, 20.8037, 0.45017466, 0.0132258, 7.7475, Oph, 317.6798, 52.88539
2003-Aug-27 12:00, 22 38 35.28, -15 44 21.1, 22 38 47.58, -15 43 11.5, -2.926, 25.12695, 0.37271929, 0.0229855, 4.9844, Aqr, 317.67712, 52.88426
2005-Oct-30 06:00, 03 02 20.24, +16 14 32.8, 03 02 40.68, +16 16 05.3, -2.194, 20.18141, 0.46405573, 0.033448, 7.4967, Ari, 317.67451, 52.88262
2007-Dec-19 00:00, 06 21 23.28, +26 31 33.2, 06 21 55.19, +26 31 24.4, -1.631, 15.89115, 0.58934047, 0.0048146, 5.5156, Gem, 317.67255, 52.8813
2010-Jan-27 18:00, 08 56 57.70, +21 57 00.8, 08 57 35.24, +21 54 31.2, -1.334, 14.10489, 0.66397531, -0.0151806, 3.2149, Cnc, 317.67029, 52.8802
2012-Mar-05 18:00, 11 02 44.44, +10 36 59.0, 11 03 24.96, +10 32 47.3, -1.341, 13.90173, 0.67367857, 0.0174496, 2.936, Leo, 317.66781, 52.87897
2014-Apr-14 12:00, 13 04 39.72, -04 24 38.9, 13 05 25.81, -04 29 22.0, -1.571, 15.16487, 0.6175656, -0.0117994, 4.9481, Vir, 317.66545, 52.87757
2016-May-31 00:00, 15 43 53.72, -21 23 26.3, 15 44 52.53, -21 26 25.4, -2.073, 18.61061, 0.5032237, 0.0312879, 7.5339, Lib, 317.66342, 52.87615
2018-Jul-31 06:00, 20 26 55.36, -25 54 23.5, 20 28 02.54, -25 50 34.2, -2.853, 24.32755, 0.38496686, -0.0177375, 5.952, Cap, 317.66117, 52.87503
2020-Oct-06 12:00, 01 30 49.35, +05 47 59.5, 01 31 54.42, +05 54 24.6, -2.522, 22.57188, 0.41491009, -0.0247747, 7.3158, Psc, 317.65824, 52.87356
2022-Dec-01 00:00, 05 09 27.84, +24 55 44.9, 05 10 52.78, +24 57 30.9, -1.881, 17.20088, 0.5444663, -0.0311825, 6.65, Tau, 317.6562, 52.87204
2025-Jan-12 12:00, 08 01 03.83, +24 50 48.3, 08 02 35.81, +24 46 36.9, -1.465, 14.5814, 0.6422772, -0.0245399, 4.0193, Cnc, 317.65407, 52.87092
2027-Feb-20 00:00, 10 15 48.59, +15 33 17.3, 10 17 18.66, +15 24 59.3, -1.34, 13.81478, 0.67791882, -0.0021836, 2.6614, Leo, 317.65165, 52.86976
2029-Mar-29 12:00, 12 15 46.36, +01 46 54.4, 12 17 18.46, +01 36 55.2, -1.448, 14.46986, 0.64722807, -0.012881, 3.9911, Vir, 317.6492, 52.86842
2031-May-12 06:00, 14 32 50.93, -14 48 23.8, 14 34 36.57, -14 56 43.5, -1.805, 16.92419, 0.55336755, 0.0304281, 6.6746, Lib, 317.64703, 52.86697
2033-Jul-05 12:00, 18 17 53.91, -28 16 12.6, 18 20 02.83, -28 15 07.2, -2.517, 22.13886, 0.42302532, 0.0084385, 7.4568, Sgr, 317.64504, 52.86572
2035-Sep-11 12:00, 23 45 25.43, -07 55 37.4, 23 47 16.32, -07 43 37.5, -2.895, 24.61922, 0.38040603, -0.0233222, 5.7657, Aqr, 317.64217, 52.86451
2037-Nov-11 06:00, 03 50 16.85, +20 23 46.9, 03 52 29.51, +20 30 28.2, -2.074, 18.9744, 0.49357553, -0.0249866, 7.4654, Tau, 317.63981, 52.86286
2039-Dec-28 12:00, 06 59 28.55, +26 24 54.1, 07 01 57.47, +26 21 25.8, -1.619, 15.3301, 0.61090917, -0.0413477, 5.0303, Gem, 317.63781, 52.86163
2042-Feb-05 06:00, 09 26 37.02, +19 51 04.7, 09 29 00.00, +19 40 00.8, -1.36, 13.94188, 0.67173885, -0.0301308, 2.9105, Leo, 317.63547, 52.86052
2044-Mar-14 06:00, 11 29 00.62, +07 33 05.8, 11 31 19.10, +07 18 19.3, -1.312, 14.03914, 0.66708514, -0.0003527, 3.231, Leo, 317.63299, 52.85925
2046-Apr-24 06:00, 13 34 15.27, -08 06 10.2, 13 36 43.28, -08 20 32.9, -1.675, 15.68588, 0.59705291, 0.0221588, 5.6062, Vir, 317.63069, 52.85783
2048-Jun-12 00:00, 16 32 33.42, -24 41 38.5, 16 35 32.83, -24 47 38.8, -2.176, 19.77173, 0.47367134, -0.018817, 7.6238, Oph, 317.62872, 52.85645
2050-Aug-15 12:00, 21 41 48.36, -21 04 01.5, 21 44 40.75, -20 49 47.7, -3.008, 25.03738, 0.37405269, -0.0082703, 5.1159, Cap, 317.62624, 52.85535
2052-Oct-20 06:00, 02 23 18.12, +12 09 19.9, 02 26 10.98, +12 23 35.2, -2.386, 21.24136, 0.44089928, 0.0108273, 7.5544, Ari, 317.62345, 52.85376
2054-Dec-11 12:00, 05 50 45.30, +26 09 13.0, 05 54 10.98, +26 09 41.3, -1.753, 16.42627, 0.57014149, 0.0055105, 5.9861, Tau, 317.62149, 52.85236
2057-Jan-21 06:00, 08 33 28.25, +23 20 15.9, 08 36 49.56, +23 08 16.6, -1.425, 14.28683, 0.6555197, -0.0476857, 3.5776, Cnc, 317.61928, 52.85125
2059-Feb-28 12:00, 10 42 30.64, +12 49 30.7, 10 45 38.87, +12 30 48.7, -1.269, 13.8374, 0.6768109, 0.0253575, 2.7654, Leo, 317.61682, 52.85006
2061-Apr-07 12:00, 12 42 57.31, -01 40 56.4, 12 46 07.06, -02 01 08.0, -1.515, 14.81866, 0.63199352, -0.0271629, 4.4817, Vir, 317.61441, 52.84869
2063-May-23 00:00, 15 10 59.10, -18 35 16.9, 15 14 36.98, -18 49 36.5, -1.917, 17.79199, 0.52637721, -0.0237133, 7.0309, Lib, 317.61233, 52.84725
2065-Jul-19 18:00, 19 27 58.83, -27 55 01.1, 19 32 05.93, -27 46 36.5, -2.668, 23.43701, 0.39959447, -0.0181433, 6.7444, Sgr, 317.61022, 52.84607
2067-Sep-26 12:00, 00 46 15.09, +00 01 23.6, 00 49 45.71, +00 23 45.4, -2.729, 23.60858, 0.3966905, -0.0091986, 6.6603, Cet, 317.60726, 52.84473
2069-Nov-22 18:00, 04 35 36.48, +23 22 19.2, 04 39 51.49, +23 30 27.7, -2.051, 17.93422, 0.52220278, -0.0160517, 7.0373, Tau, 317.60511, 52.84314
2072-Jan-06 18:00, 07 35 01.39, +25 43 28.4, 07 39 26.23, +25 33 22.2, -1.502, 14.88006, 0.62938587, -0.0359521, 4.4555, Gem, 317.60304, 52.84197
2074-Feb-13 18:00, 09 54 45.97, +17 30 23.5, 09 58 50.24, +17 09 01.6, -1.255, 13.8447, 0.67645381, -0.005101, 2.7019, Leo, 317.60065, 52.84084
2076-Mar-23 00:00, 11 55 08.06, +04 20 46.9, 11 59 02.78, +03 55 18.4, -1.332, 14.2453, 0.65743102, 0.0250464, 3.6851, Vir, 317.59818, 52.83954
2078-May-04 06:00, 14 06 06.05, -11 52 43.4, 14 10 19.17, -12 14 59.1, -1.756, 16.31818, 0.57391815, 0.0131226, 6.1688, Vir, 317.59595, 52.83809
2080-Jun-25 00:00, 17 28 01.45, -27 12 29.1, 17 33 05.14, -27 16 05.4, -2.364, 21.04672, 0.44497671, 0.0136092, 7.7308, Oph, 317.594, 52.83678
2082-Aug-30 18:00, 22 52 53.62, -14 10 06.8, 22 57 17.56, -13 43 26.8, -2.905, 25.07022, 0.37356267, -0.0094036, 5.0762, Aqr, 317.59127, 52.83565
2084-Nov-02 00:00, 03 13 04.80, +17 17 16.4, 03 17 54.91, +17 36 05.6, -2.249, 19.93252, 0.46985025, -0.006055, 7.6265, Ari, 317.58872, 52.83399
2086-Dec-21 12:00, 06 30 14.56, +26 34 58.0, 06 35 42.18, +26 30 41.1, -1.651, 15.7702, 0.59386068, 0.0180217, 5.3639, Gem, 317.58675, 52.8327
2089-Jan-30 00:00, 09 04 00.66, +21 29 09.0, 09 09 08.32, +21 07 16.8, -1.319, 14.06684, 0.66577161, -0.0054764, 3.1261, Cnc, 317.58447, 52.8316
2091-Mar-09 00:00, 11 08 48.06, +09 54 06.1, 11 13 33.78, +09 24 12.6, -1.322, 13.92151, 0.67272139, 0.0381825, 3.0149, Leo, 317.58199, 52.83037
2093-Apr-17 00:00, 13 11 10.49, -05 16 29.3, 13 16 01.54, -05 46 03.2, -1.519, 15.25727, 0.61382555, 0.025532, 5.1501, Vir, 317.57964, 52.82896
2095-Jun-03 18:00, 15 54 04.36, -22 11 39.1, 15 59 42.99, -22 27 59.1, -2.034, 18.82546, 0.49748044, 0.0234111, 7.5412, Sco, 317.57763, 52.82755
2097-Aug-03 18:00, 20 42 36.91, -25 06 31.2, 20 48 23.47, -24 45 01.2, -2.82, 24.52489, 0.38186924, -0.0021791, 5.8125, Cap, 317.57533, 52.82644
2099-Oct-10 18:00, 01 42 08.68, +07 16 31.3, 01 47 24.57, +07 46 37.3, -2.563, 22.3402, 0.41921281, -0.0083521, 7.3465, Psc, 317.57242, 52.82494
2101-Dec-04 18:00, 05 18 32.13, +25 18 28.8, 05 24 51.57, +25 24 16.3, -1.905, 17.04599, 0.54941361, 0.0319668, 6.3738, Tau, 317.5704, 52.82345
2104-Jan-16 18:00, 08 08 43.20, +24 32 25.4, 08 14 58.86, +24 13 22.8, -1.413, 14.51901, 0.64503731, -0.0299613, 3.9219, Cnc, 317.56825, 52.82233
2106-Feb-23 06:00, 10 22 01.50, +14 55 42.8, 10 27 45.13, +14 23 01.5, -1.312, 13.81551, 0.67788282, 0.0250494, 2.6705, Leo, 317.56582, 52.82117
2108-Apr-01 18:00, 12 21 49.29, +00 58 51.0, 12 27 23.51, +00 22 46.3, -1.435, 14.52965, 0.64456475, -0.0116799, 4.0977, Vir, 317.56338, 52.81983
2110-May-15 18:00, 14 40 45.89, -15 40 21.8, 14 46 53.69, -16 08 09.5, -1.745, 17.07284, 0.54854967, 0.0288589, 6.7527, Lib, 317.56123, 52.81838
2112-Jul-09 18:00, 18 31 54.77, -28 23 38.6, 18 39 01.30, -28 17 47.7, -2.542, 22.38619, 0.41835163, 0.0136845, 7.4291, Sgr, 317.55922, 52.81715
2114-Sep-16 00:00, 23 58 25.48, -06 13 42.5, 00 04 18.54, -05 35 22.1, -2.794, 24.46282, 0.38283804, -0.0110737, 5.8653, Psc, 317.55632, 52.81591
2116-Nov-15 00:00, 04 00 23.17, +21 10 35.6, 04 07 16.71, +21 29 41.9, -2.114, 18.76784, 0.4990079, -0.0254294, 7.4179, Tau, 317.55401, 52.81427
2119-Jan-01 00:00, 07 07 28.95, +26 19 58.9, 07 14 51.58, +26 07 54.8, -1.534, 15.23864, 0.61457578, 0.0174385, 4.7931, Gem, 317.55199, 52.81306
2121-Feb-08 12:00, 09 33 08.43, +19 19 51.4, 09 39 56.20, +18 46 56.2, -1.314, 13.91669, 0.67295443, 0.0022182, 2.833, Leo, 317.54964, 52.81195
2123-Mar-18 12:00, 11 35 00.56, +06 47 59.8, 11 41 23.64, +06 06 47.4, -1.331, 14.07074, 0.66558702, 0.0169671, 3.3262, Leo, 317.54716, 52.81067
2125-Apr-27 12:00, 13 41 28.04, -08 59 58.7, 13 48 07.66, -09 37 39.6, -1.669, 15.79737, 0.59283907, -0.0352125, 5.5719, Vir, 317.54488, 52.80925
2127-Jun-17 00:00, 16 43 34.47, -25 20 09.9, 16 51 25.05, -25 33 17.7, -2.176, 19.99788, 0.46831455, 0.0154792, 7.7523, Sco, 317.54292, 52.80788
2129-Aug-20 00:00, 21 56 39.77, -19 47 05.5, 22 03 49.58, -19 09 28.3, -2.927, 25.08939, 0.37327731, 0.0228478, 5.0252, Cap, 317.54038, 52.80678
2131-Oct-25 06:00, 02 34 11.83, +13 24 01.5, 02 41 24.66, +13 58 01.0, -2.332, 20.9775, 0.44644508, 0.0101153, 7.6098, Ari, 317.53764, 52.80518
2133-Dec-15 00:00, 05 59 58.02, +26 20 27.3, 06 08 19.13, +26 19 43.3, -1.769, 16.28521, 0.57508008, -0.0034628, 5.8756, Tau, 317.53568, 52.8038
2136-Jan-25 12:00, 08 40 46.48, +22 56 09.9, 08 48 43.63, +22 26 16.3, -1.417, 14.23733, 0.65779878, -0.0388204, 3.4769, Cnc, 317.53345, 52.8027
2138-Mar-03 12:00, 10 48 57.75, +12 06 49.5, 10 56 15.84, +11 22 31.4, -1.281, 13.84737, 0.67632327, -0.0388632, 2.7368, Leo, 317.53098, 52.8015
2140-Apr-10 18:00, 12 49 25.89, -02 32 18.8, 12 56 41.77, -03 18 08.9, -1.506, 14.89369, 0.62881001, -0.0446791, 4.5376, Vir, 317.52859, 52.80012
2142-May-26 18:00, 15 20 00.71, -19 26 30.3, 15 28 14.16, -19 56 30.8, -1.903, 17.97948, 0.5208882, 0.00525, 7.1575, Lib, 317.52652, 52.79869
2144-Jul-24 06:00, 19 43 20.60, -27 33 36.9, 19 52 16.48, -27 11 31.7, -2.74, 23.68758, 0.39536758, 0.0127016, 6.683, Sgr, 317.52438, 52.79753
2146-Sep-30 18:00, 00 58 19.40, +01 39 08.7, 01 05 53.71, +02 26 25.4, -2.74, 23.40129, 0.40020437, -0.0211421, 6.8323, Cet, 317.52141, 52.79615
2148-Nov-26 12:00, 04 45 05.79, +23 54 44.5, 04 54 08.82, +24 09 41.3, -1.957, 17.75906, 0.5273535, 0.0137295, 6.8427, Tau, 317.5193, 52.79458
2151-Jan-10 06:00, 07 42 38.35, +25 31 14.7, 07 51 48.51, +25 08 29.8, -1.439, 14.80532, 0.63256337, 0.0414646, 4.2072, Gem, 317.51721, 52.79344
2153-Feb-17 00:00, 10 01 08.96, +16 55 07.8, 10 09 29.97, +16 10 15.5, -1.307, 13.8353, 0.67691338, 0.0270038, 2.6737, Leo, 317.51481, 52.7923
2155-Mar-27 06:00, 12 01 07.71, +03 33 53.8, 12 09 06.25, +02 41 56.4, -1.358, 14.29464, 0.65516158, 0.040216, 3.7947, Vir, 317.51235, 52.79099
2157-May-07 18:00, 14 13 26.10, -12 45 02.1, 14 21 59.63, -13 28 36.0, -1.662, 16.44872, 0.56936358, 0.0340264, 6.3005, Vir, 317.51014, 52.78954
2159-Jun-30 00:00, 17 40 54.35, -27 36 35.4, 17 50 59.13, -27 39 53.5, -2.366, 21.28878, 0.43991719, -0.0134492, 7.666, Oph, 317.50818, 52.78825
2161-Sep-04 06:00, 23 06 55.43, -12 32 40.9, 23 15 24.79, -11 39 40.2, -2.851, 25.00186, 0.37458419, -0.0078352, 5.1416, Aqr, 317.5054, 52.7871
2163-Nov-07 00:00, 03 23 22.87, +18 16 13.5, 03 32 46.57, +18 49 52.3, -2.245, 19.7018, 0.47535242, 0.0287159, 7.5045, Ari, 317.5029, 52.78545
2165-Dec-24 18:00, 06 39 04.90, +26 35 37.1, 06 49 24.96, +26 24 49.2, -1.69, 15.66315, 0.59791937, -0.0303259, 5.3551, Gem, 317.50093, 52.78417
2168-Feb-03 06:00, 09 10 42.75, +21 01 17.3, 09 20 15.93, +20 18 56.4, -1.363, 14.03206, 0.66742144, 0.0358346, 3.0245, Cnc, 317.49863, 52.78307
2170-Mar-12 00:00, 11 15 07.60, +09 09 05.4, 11 23 57.63, +08 13 07.4, -1.347, 13.94258, 0.67170479, -0.023155, 2.9775, Leo, 317.49615, 52.78183
2172-Apr-20 06:00, 13 17 54.90, -06 08 51.2, 13 26 54.94, -07 02 49.0, -1.546, 15.3507, 0.61008956, 0.000899, 5.1778, Vir, 317.49381, 52.78042
2174-Jun-07 12:00, 16 04 06.88, -22 56 49.8, 16 14 33.31, -23 24 04.4, -2.1, 19.03126, 0.49210087, 0.0189105, 7.5887, Sco, 317.49181, 52.77902
2176-Aug-08 00:00, 20 58 08.86, -24 11 41.0, 21 08 27.36, -23 29 17.8, -2.863, 24.67078, 0.37961107, -0.0191173, 5.5786, Cap, 317.48947, 52.77792
2178-Oct-14 18:00, 01 53 30.50, +08 42 35.3, 02 03 01.82, +09 34 43.3, -2.51, 22.07424, 0.42426377, -0.0323704, 7.5365, Psc, 317.48658, 52.7764
2180-Dec-07 06:00, 05 28 08.17, +25 38 25.9, 05 39 22.78, +25 45 14.5, -1.809, 16.8835, 0.55470143, -0.0005267, 6.3271, Tau, 317.48458, 52.77494
2183-Jan-19 00:00, 08 16 24.76, +24 12 15.9, 08 27 17.68, +23 36 35.2, -1.373, 14.45666, 0.6478191, -0.0286676, 3.8361, Cnc, 317.48241, 52.77383
2185-Feb-25 06:00, 10 28 35.13, +14 15 15.1, 10 38 27.75, +13 17 40.1, -1.342, 13.81576, 0.67787082, -0.0283791, 2.6483, Leo, 317.47997, 52.77266
2187-Apr-05 00:00, 12 28 06.51, +00 08 51.1, 12 37 43.08, -00 53 02.6, -1.407, 14.59115, 0.64184809, -0.0061424, 4.1754, Vir, 317.47754, 52.7713
2189-May-18 06:00, 14 49 22.04, -16 34 19.8, 14 59 58.13, -17 20 08.0, -1.843, 17.23608, 0.54335431, 7.99e-05, 6.7337, Lib, 317.47541, 52.76986
2191-Jul-14 00:00, 18 46 39.54, -28 25 21.1, 18 58 44.13, -28 10 53.5, -2.583, 22.65851, 0.41332374, -0.0007449, 7.3168, Sgr, 317.47338, 52.76865
2193-Sep-19 12:00, 00 11 16.02, -04 31 13.9, 00 21 12.43, -03 26 31.4, -2.735, 24.3118, 0.38521629, 0.0059383, 5.9618, Psc, 317.47045, 52.76739
2195-Nov-18 18:00, 04 10 25.93, +21 54 17.5, 04 22 06.73, +22 23 03.0, -2.042, 18.57034, 0.50431492, -0.0355817, 7.3511, Tau, 317.46819, 52.76576
2198-Jan-03 06:00, 07 15 52.64, +26 12 03.2, 07 28 05.46, +25 48 46.3, -1.494, 15.15029, 0.61815977, -0.0063999, 4.7393, Gem, 317.46616, 52.76457
2200-Feb-11 18:00, 09 39 41.21, +18 47 26.7, 09 50 48.02, +17 51 36.4, -1.281, 13.8968, 0.67391773, 0.043262, 2.772, Leo, 317.46379, 52.76345
2202-Mar-21 12:00, 11 41 19.28, +06 00 49.6, 11 51 44.10, +04 53 18.0, -1.324, 14.10928, 0.66376864, -0.047614, 3.2777, Vir, 317.46132, 52.76217
2204-May-01 00:00, 13 48 10.89, -09 51 08.0, 13 59 03.74, -10 51 07.3, -1.614, 15.90944, 0.58866299, 0.018564, 5.7781, Vir, 317.45905, 52.76074
2206-Jun-21 00:00, 16 54 52.99, -25 56 00.3, 17 07 39.01, -26 13 28.3, -2.194, 20.22477, 0.46306082, 0.0265017, 7.8512, Oph, 317.45709, 52.75939
2208-Aug-24 06:00, 22 11 49.39, -18 22 38.5, 22 23 10.86, -17 19 49.5, -2.911, 25.12185, 0.37279501, -0.0292937, 4.9476, Aqr, 317.4545, 52.75829
2210-Oct-29 06:00, 02 44 58.17, +14 35 26.2, 02 56 39.08, +15 27 21.3, -2.309, 20.72879, 0.45180168, 0.0138679, 7.6282, Ari, 317.45181, 52.75667
2212-Dec-18 12:00, 06 08 49.36, +26 29 12.7, 06 22 08.01, +26 24 30.9, -1.7, 16.16116, 0.57949438, 0.0184193, 5.719, Gem, 317.44985, 52.75532
2215-Jan-28 18:00, 08 47 46.66, +22 31 33.3, 09 00 15.81, +21 41 58.3, -1.387, 14.19256, 0.6598737, 0.0012838, 3.3613, Cnc, 317.4476, 52.75422
2217-Mar-06 18:00, 10 54 55.68, +11 26 04.0, 11 06 20.47, +10 15 43.7, -1.258, 13.85858, 0.67577631, 0.0123112, 2.7971, Leo, 317.44513, 52.75302
2219-Apr-15 06:00, 12 55 33.10, -03 21 55.1, 13 06 54.87, -04 32 39.5, -1.465, 14.97199, 0.62552139, 0.0400971, 4.7892, Vir, 317.44274, 52.75163
2221-May-30 12:00, 15 29 05.34, -20 15 55.1, 15 41 57.65, -20 59 25.3, -2.004, 18.16439, 0.51558569, 0.0221482, 7.2862, Lib, 317.4407, 52.7502
2223-Jul-29 12:00, 19 58 40.11, -27 04 56.6, 20 12 16.99, -26 26 00.1, -2.803, 23.89963, 0.3918596, 0.0087679, 6.4806, Sgr, 317.43852, 52.74907
2225-Oct-05 00:00, 01 10 07.95, +03 14 44.9, 01 21 49.35, +04 26 02.9, -2.675, 23.15639, 0.40443695, -0.0118007, 6.962, Psc, 317.43556, 52.74766
2227-Dec-01 06:00, 04 54 46.52, +24 24 50.4, 05 08 43.19, +24 44 06.0, -1.97, 17.57255, 0.53295049, 0.0325339, 6.6751, Tau, 317.43347, 52.74611
2230-Jan-13 12:00, 07 50 41.89, +25 15 46.9, 08 04 36.00, +24 38 06.8, -1.447, 14.72895, 0.63584281, 0.0396338, 4.1381, Gem, 317.43137, 52.74497
2232-Feb-21 00:00, 10 07 50.42, +16 17 09.4, 10 20 25.91, +15 07 37.6, -1.281, 13.82559, 0.67738894, -0.0164053, 2.6558, Leo, 317.42895, 52.74383
2234-Mar-30 06:00, 12 07 36.21, +02 43 55.2, 12 19 38.63, +01 25 36.7, -1.359, 14.3432, 0.65294338, -0.0268635, 3.7166, Vir, 317.42649, 52.74251
2236-May-11 06:00, 14 21 11.04, -13 38 48.0, 14 34 08.48, -14 42 00.3, -1.708, 16.58755, 0.56459813, 0.0399843, 6.3829, Vir, 317.4243, 52.74107
2238-Jul-04 06:00, 17 54 12.99, -27 57 18.8, 18 09 17.71, -27 56 32.9, -2.451, 21.55919, 0.43439944, 0.0036143, 7.718, Sgr, 317.42233, 52.7398
2240-Sep-08 18:00, 23 20 49.86, -10 52 24.9, 23 33 19.44, -09 32 48.0, -2.939, 24.93481, 0.37559141, -0.010938, 5.24, Aqr, 317.41952, 52.73863
2242-Nov-10 18:00, 03 33 49.87, +19 11 47.7, 03 47 52.15, +19 58 01.2, -2.132, 19.48533, 0.48063342, -0.0122486, 7.5552, Tau, 317.41707, 52.73697
2244-Dec-28 06:00, 06 47 24.98, +26 34 59.2, 07 02 37.17, +26 15 34.8, -1.58, 15.56059, 0.60186029, 0.0282328, 5.1396, Gem, 317.41509, 52.73573
2247-Feb-06 06:00, 09 17 54.67, +20 29 48.7, 09 31 51.29, +19 25 30.6, -1.325, 14.00139, 0.66888339, -0.0204709, 3.0282, Cnc, 317.41277, 52.73462
2249-Mar-15 06:00, 11 21 04.10, +08 25 39.5, 11 33 59.01, +07 03 09.3, -1.315, 13.97097, 0.67034017, 0.0228732, 3.0696, Leo, 317.41029, 52.73338
2251-Apr-24 12:00, 13 24 37.90, -07 00 43.0, 13 37 50.78, -08 18 17.2, -1.619, 15.44744, 0.60626894, -0.0152667, 5.2143, Vir, 317.40796, 52.73196
2253-Jun-11 06:00, 16 14 31.18, -23 40 27.1, 16 29 50.70, -24 15 33.4, -2.098, 19.23858, 0.48679795, -0.0116663, 7.5903, Sco, 317.40598, 52.73057
2255-Aug-13 12:00, 21 13 30.32, -23 10 35.0, 21 28 10.11, -22 04 46.8, -2.954, 24.79873, 0.37765242, 0.0029605, 5.4378, Cap, 317.40358, 52.72948
2257-Oct-19 00:00, 02 04 38.14, +10 06 15.0, 02 18 28.14, +11 18 32.4, -2.564, 21.8184, 0.42923859, 0.0007879, 7.5105, Psc, 317.40073, 52.72793
2259-Dec-11 18:00, 05 37 33.45, +25 55 42.1, 05 53 42.77, +26 01 01.1, -1.783, 16.73828, 0.55951376, -0.0089464, 6.2552, Tau, 317.39875, 52.7265
2262-Jan-22 06:00, 08 23 43.90, +23 51 29.1, 08 39 10.32, +22 57 45.2, -1.377, 14.40104, 0.6503213, 0.0083164, 3.718, Cnc, 317.39656, 52.72539
2264-Feb-29 12:00, 10 34 35.35, +13 36 48.7, 10 48 36.02, +12 13 43.5, -1.297, 13.81702, 0.67780916, 0.034746, 2.6749, Leo, 317.3941, 52.72422
2266-Apr-08 06:00, 12 34 20.94, -00 40 52.2, 12 48 02.85, -02 08 26.9, -1.398, 14.65441, 0.63907721, 0.0057588, 4.2559, Vir, 317.39168, 52.72286
2268-May-21 18:00, 14 57 48.31, -17 25 59.4, 15 12 59.94, -18 28 03.1, -1.84, 17.39844, 0.5382839, -0.0272298, 6.7566, Lib, 317.38957, 52.72142
2270-Jul-18 06:00, 19 01 01.33, -28 21 22.8, 19 18 01.07, -27 54 23.1, -2.605, 22.90494, 0.40887691, 0.0216132, 7.2539, Sgr, 317.38752, 52.72023
