_RAJ2000,_DEJ2000,HIP,Vmag,Plx,B-V,pc,target_blind,target_deep,has_planets,SPOCS,HD Name,Rstar,Rstar_source,Teff,Teff_source,logg,logg_source,__M_H_,__M_H__source,Vsini,Vsini_source,Mstar,Mstar_source,Vmac,Vmac_source,Comments,Other Name,MK,S,S_source,logRHK,logRHK_source
331.75278,25.345112,109176,3.77,85.06,0.435,11.756408,true,false,false,3188,HD 210027,1.42,SPOCS Extended,6565,SPOCS Extended,4.25,SPOCS Extended,-0.05,SPOCS Extended,0.1,SPOCS Extended,1.31,SPOCS Extended,11.2,SPOCS Extended,Have not checked for companions,,F5V,0.14,SPOCS Extended,-5.16,SPOCS Extended
5.0177503,-64.874794,1599,4.23,116.38,0.576,8.592542,true,false,false,14,HD 1581,1.055,SPOCS,5948,SPOCS,4.46,SPOCS,-0.18,SPOCS,3,SPOCS,1.176,SPOCS,,,Have not checked for companions,,F9.5V,,,,
6.4378004,-77.25424,2021,2.82,133.78,0.618,7.474959,true,false,false,20,HD 2151,1.802,SPOCS,5873,SPOCS,4.08,SPOCS,-0.09,SPOCS,4,SPOCS,1.433,SPOCS,,,Have not checked for companions,,G0V,,,,
9.840858,21.250473,3093,5.88,90.03,0.85,11.107409,true,false,true,26,HD 3651,0.879,SPOCS,5221,SPOCS,4.45,SPOCS,0.16,SPOCS,1.1,SPOCS,0.799,SPOCS,,,Double (Brown Dwarf companion),54 Psc,K0.5V,0.169,Wright 2004,-5.02,Wright 2004
24.199345,41.40546,7513,4.1,74.25,0.536,13.468014,true,false,true,85,HD 9826,1.573,SPOCS,6213,SPOCS,4.25,SPOCS,0.12,SPOCS,9.6,SPOCS,1.62,SPOCS,,,Double (M-dwarf with unclear orbit. 750+ AU?),ups And,F9V,0.146,Wright 2004,-5.04,Wright 2004
39.02039,6.8868704,12114,5.79,138.72,0.918,7.208766,true,false,false,129,HD 16160,0.7348,SPOCS,4866,SPOCS,4.66,SPOCS,0,SPOCS,2.9,SPOCS,0.909,SPOCS,,,Have not checked for companions,,K3V,0.266,Wright 2004,,
43.13387,-12.769714,13402,6.05,96.33,0.862,10.380981,true,false,false,140,HD 17925,0.7532,SPOCS,5236,SPOCS,4.59,SPOCS,0.11,SPOCS,4.9,SPOCS,0.811,SPOCS,,,Have not checked for companions,IRAS 02501-1258,K1V,0.443,White 2007,-4.52,White 2007
49.44235,-62.57532,15330,5.53,82.51,0.641,12.119742,true,false,false,158,HD 20766,0.9062,SPOCS,5699,SPOCS,4.58,SPOCS,-0.22,SPOCS,2.9,SPOCS,1.128,SPOCS,,,Have not checked for companions,,G2.5VHdel1,,,,
49.553413,-62.506363,15371,5.24,82.79,0.6,12.078753,true,false,false,159,HD 20807,0.9721,SPOCS,5845,SPOCS,4.54,SPOCS,-0.23,SPOCS,2.6,SPOCS,1.192,SPOCS,,,Have not checked for companions,,G1V,,,,
49.8404,3.370198,15457,4.84,109.18,0.681,9.159186,true,false,false,161,HD 20630,0.917,SPOCS,5742,SPOCS,4.49,SPOCS,0.1,SPOCS,5.2,SPOCS,0.948,SPOCS,,,Have not checked for companions,,G5V,0.363,Schroeder 2009 Classic,-4.442,Schroeder 2009 Classic
49.98188,-43.069782,15510,4.26,165.02,0.711,6.059871,false,true,true,162,HD 20794,0.928,SPOCS,5401,SPOCS,4.62,SPOCS,-0.23,SPOCS,1.5,SPOCS,1.3,SPOCS,,,Have not checked for companions,,G6V,0.157,Schroeder 2009 Classic,-5.067,Schroeder 2009 Classic
75.20417,-5.7536755,23311,6.22,113.46,1.049,8.813679,true,false,false,242,HD 32147,0.7579,SPOCS,4827,SPOCS,4.69,SPOCS,0.3,SPOCS,1.7,SPOCS,1.031,SPOCS,,,Have not checked for companions,,K3+V,0.282,Schroeder 2009 Classic,,
92.56031,-74.753044,29271,5.08,98.54,0.714,10.148163,true,false,false,295,HD 43834,0.9729,SPOCS,5587,SPOCS,4.5,SPOCS,0.05,SPOCS,1.7,SPOCS,1.103,SPOCS,,,Have not checked for companions,,G7V,,,,
103.07521,-5.173713,32984,6.58,114.94,1.071,8.7001915,true,false,false,326,HD 50281,0.665,SPOCS,4758,SPOCS,4.92,SPOCS,-0.01,SPOCS,1.8,SPOCS,1.34,SPOCS,,,Have not checked for companions,,K3.5V,0.652,Schroeder 2009 Classic,,
114.82549,5.224993,37279,0.4,285.93,0.432,3.4973595,true,false,false,352,HD 61421,1.919,SPOCS,6543,SPOCS,3.99,SPOCS,0.03,SPOCS,5.7,SPOCS,1.32,SPOCS,,,Have not checked for companions,,F5IV-V+DQZ,0.158,Schroeder 2009 Classic,,
157.65659,55.980537,51459,4.82,77.82,0.541,12.850167,true,false,false,456,HD 90839,1.12,SPOCS,6126,SPOCS,4.34,SPOCS,-0.05,SPOCS,2.1,SPOCS,0.994,SPOCS,,,Have not checked for companions,,F8V,0.175,Schroeder 2009 Classic,-4.761,Schroeder 2009 Classic
177.67383,1.7647179,57757,3.59,91.74,0.518,10.900371,true,false,false,510,HD 102870,1.639,SPOCS,6161,SPOCS,4.22,SPOCS,0.16,SPOCS,4,SPOCS,1.61,SPOCS,,,Have not checked for companions,,F9V,0.148,Schroeder 2009 Classic,-4.997,Schroeder 2009 Classic
178.24487,37.718678,57939,6.42,109.21,0.754,9.156671,true,false,false,511,HD 103095,0.659,SPOCS,4950,SPOCS,4.65,SPOCS,-1.16,SPOCS,0.5,SPOCS,0.716,SPOCS,,,Have not checked for companions,,K1V_Fe-1.5,0.2,Wright 2004,-4.85,Wright 2004
197.9683,27.878183,64394,4.23,109.23,0.572,9.154994,true,false,false,553,HD 114710,1.063,SPOCS,6075,SPOCS,4.57,SPOCS,0.04,SPOCS,4.4,SPOCS,1.54,SPOCS,,,Have not checked for companions,,F9.5V,0.198,Wright 2004,-4.76,Wright 2004
